# Playlist Blind Test — IDs Deezer
# 1337 morceaux, tous avec une année vérifiée
# Format : deezer:ID | titre(s) | artiste(s) | annee | notoriete
# notoriete = 0 a 100 : position du titre parmi ceux de sa decennie
#             (100 = le plus ecoute aujourd'hui de son epoque)

deezer:3821992 | Just the Two of Us | Grover Washington Jr. | 1980 | 35
deezer:1918194557 | KJF 4 | LESTEF KJF BOYZ | 2022 | 45
deezer:602454222 | The Girl From Ipanema | Stan Getz | 1964 | 68
deezer:3783107532 | Aline | Christophe | 1965 | 63
deezer:3129949 | La Foule | Édith Piaf | 1957 | 100
deezer:4016353611 | do i clench my fists? | ridgeclub | 2026 | 50
deezer:2238153377 | From The Start | Laufey | 2023 | 50
deezer:3156607 | Milord | Édith Piaf | 1959 | 88
deezer:2596033732 | Lik | Oum | 2009 | 46
deezer:73693857 | La Vie en Rose | Edith Piaf | 1947 | 100
deezer:593690882 | I Put A Spell On You | Nina Simone | 1965 | 71
deezer:70835066 | My Way | Frank Sinatra | 1969 | 66
deezer:602454252 | Desafinado | Stan Getz | 1962 | 76
deezer:29190691 | Hymne à l'amour | Édith Piaf | 1950 | 38
deezer:71483067 | Fly Me To The Moon | Frank Sinatra | 1964 | 61
deezer:558506202 | Lovely Day | José James | 2018 | 29
deezer:849696322 | Minor Swing | Thomas Dutronc | 2020 | 38
deezer:1031007 | Take Five | Dave Brubeck | 1959 | 75
deezer:1627634952 | What You Won't Do for Love | Bobby Caldwell | 1978 | 38
deezer:4028971531 | A Fated Crossing | ALVED | 2026 | 35
deezer:71483071 | Somethin' Stupid | Frank Sinatra | 1967 | 45
deezer:2789439 | My Baby Just Cares for Me | Nina Simone | 1958 | 62
deezer:1204947832 | Mother's Love | The Vernon Spring | 2021 | 15
deezer:3783351052 | Les mots bleus | Christophe | 1974 | 20
deezer:1385217922 | Most of the Time | Lisa Ekdahl | 2021 | 33
deezer:71927345 | True Sorry | Ibrahim Maalouf | 2013 | 14
deezer:709830092 | Feeling Good | Nina Simone | 1965 | 53
deezer:2144435437 | Don't Let Me Be Misunderstood | Nina Simone | 1964 | 21
deezer:1350430012 | Life on Mars? | Paolo Fresu | 2021 | 31
deezer:521606762 | Ai No Corrida | Quincy Jones | 1981 | 11
deezer:73704169 | I Feel Good (I Got You) | James Brown | 1965 | 37
deezer:3647378282 | Don't Speak | Janaina | 2025 | 26
deezer:4004100121 | Celebrate Me | ingarose | 2026 | 38
deezer:3686588792 | Mi Swing Es Tropical | Quantic | 2004 | 18
deezer:1543796632 | Oiseau | Laurent Bardainne | 2022 | 18
deezer:2420755 | Les moulins de mon coeur | Michel Legrand | 1969 | 13
deezer:3601217542 | Get Lucky | Janaina | 2025 | 16
deezer:69096097 | Reach Out | George Duke | 1983 | 3
deezer:3356107321 | Seven Nation Army | Laza Bossa | 2025 | 14
deezer:71483080 | Theme From New York New York | Frank Sinatra | 1980 | 15
deezer:1898921297 | Falling Behind | Laufey | 2022 | 16
deezer:3137184221 | Riptide | Lully Hill | 2024 | 12
deezer:1387784162 | Najara | Omer Klein | 2021 | 28
deezer:71068125 | The World We Knew (Over And Over) | Frank Sinatra | 1967 | 42
deezer:71483074 | That's Life | Frank Sinatra | 1966 | 34
deezer:709830252 | Sinnerman | Nina Simone | 1965 | 32
deezer:3665403382 | Duchess | Tolouse | 2025 | 40
deezer:411396572 | Laissez-moi danser | Ibrahim Maalouf | 2017 | 9
deezer:3851149101 | Ordinary | Janaina | 2026 | 10
deezer:4097917771 | Step by Step in Time | Benny Rivers | 2026 | 19
deezer:3252863341 | Sassy | Kurt Elling | 2021 | 24
deezer:2178419 | Retiens la nuit | Johnny Hallyday | 1962 | 5
deezer:3397793931 | It's Good to Be Back Again | Luc Bleu | 2025 | 39
deezer:2276456 | Bim-Bom | Sergio Mendes & Brasil '66 | 1967 | 24
deezer:1123828 | Below The Bassline | Ernest Ranglin | 1996 | 4
deezer:1379075272 | Summer Rising | Joey Alexander | 2021 | 22
deezer:4619054 | Baby I'm A Fool | Melody Gardot | 2008 | 13
deezer:549279042 | Everybody Loves The Sunshine | Roy Ayers | 1976 | 5
deezer:1509496722 | Sinnerman (Sofi Tukker Remix) | Nina Simone | 2021 | 12
deezer:3674359802 | Quiet Taxi Conversations | Luc Bleu | 2025 | 54
deezer:411396552 | Paroles paroles | Ibrahim Maalouf | 2017 | 8
deezer:3068326541 | Sugar | Lully Hill | 2024 | 14
deezer:100723036 | The Captain of Her Heart | Double | 1985 | 5
deezer:3145456 | Sous le ciel de Paris | Édith Piaf | 1954 | 12
deezer:1064016242 | Come Away With Me | Norah Jones | 2001 | 16
deezer:3401324661 | Late Night Loop | Bebop Bureau | 2025 | 35
deezer:2311074615 | Promise | Laufey | 2023 | 11
deezer:911085 | In A Sentimental Mood | Duke Ellington | 1937 | 100
deezer:649747872 | Rescue Me | Fontella Bass | 1965 | 11
deezer:1345159182 | Rio | Florian Pellissier Quintet | 2021 | 20
deezer:3125117231 | God Gave Me Feet For Dancing | Ezra Collective | 2023 | 9
deezer:2961024 | California Soul | Marlena Shaw | 1969 | 16
deezer:97693846 | I'm a Fool to Want You | Billie Holiday | 1958 | 25
deezer:3111077951 | The Rhythm of the Night | Janaina | 2024 | 4
deezer:883816 | One Note Samba / Spanish Flea | Sergio Mendes & Brasil '66 | 1966 | 8
deezer:64699107 | Nuvole bianche | Ludovico Einaudi | 2004 | 6
deezer:3683220282 | Dis quand reviendras-tu ? | Flore Benguigui & The Sensible Notes | 2025 | 4
deezer:1390752872 | Songe en forme de palmier | Sophie Alour | 2020 | 17
deezer:3948936611 | Make Me Feel | Gadnr | 2026 | 17
deezer:10091593 | Y'a d'la joie (avec la complicité de Patrick Sébastien) | Le Grand Orchestre Coll | 2011 | 9
deezer:602454272 | Só Danço Samba | Stan Getz | 1963 | 18
deezer:3913806191 | where am i supposed to go? | ridgeclub | 2026 | 10
deezer:143246746 | Too Late | Youn Sun Nah | 2017 | 13
deezer:3137184241 | Bad Habits | Lully Hill | 2024 | 3
deezer:3870623 | Mornin' | Al Jarreau | 1983 | 4
deezer:3771935272 | Cruel Summer | Janaina | 2026 | 2
deezer:4631883 | Like a Prayer | Mad'House | 2001 | 4
deezer:3397793921 | Dale Turns Up the Bass | Luc Bleu | 2025 | 30
deezer:1284304242 | La javanaise | André Manoukian | 2021 | 13
deezer:1444366372 | You Must Believe In Spring | Bill Evans | 1977 | 4
deezer:92719900 | Highway to Hell | AC/DC | 1979 | 98
deezer:15523793 | Toxicity | System of a Down | 2001 | 99
deezer:92720046 | Back In Black | AC/DC | 1980 | 88
deezer:15523799 | Aerials | System of a Down | 2001 | 96
deezer:559789 | B.Y.O.B. | System of a Down | 2005 | 95
deezer:62082829 | Killing In The Name | Rage Against the Machine | 1992 | 69
deezer:15523790 | ATWA | System of a Down | 2001 | 90
deezer:559728 | Radio/Video | System of a Down | 2005 | 80
